,Ano de Registo,Classe do veículo,Combustível,Condição,ID,Marca,Potência,Quilómetros,Segmento,Tipo de Caixa,Origem,Matrícula,Valor Fixo,Série
32,2004,Classe 1,Diesel,Usados,8070597870,SEAT,150 cv,242 000 km,Utilitário,Manual,Importado,,,
33,2014,,Diesel,Usados,8075612517,Volvo,190 cv,164 700 km,Utilitário,Manual,Importado,,,
34,2015,,Diesel,Usados,8032558386,MINI,116 cv,106 000 km,Citadino,Manual,,,,
35,2015,,Diesel,Usados,8073915045,Audi,140 cv,140 000 km,Sedan,,,,,
36,2015,,Diesel,Usados,8073915045,Audi,140 cv,140 000 km,Sedan,,,,,
37,2019,,Diesel,Usados,8073170702,Citroën,130 cv,9 070 km,SUV / TT,Automática,Nacional,97-VV-32,,
38,2019,,Diesel,Usados,8073171429,Hyundai,116 cv,7 178 km,SUV / TT,Manual,Nacional,62-ZD-23,Sim,
39,2018,,Diesel,Usados,8066504505,Nissan,110 cv,24 391 km,SUV / TT,Manual,Nacional,23-VV-36,Sim,
40,2018,,Diesel,Usados,8060778038,Renault,110 cv,34 903 km,SUV / TT,Manual,Nacional,21-UR-26,Sim,
41,2016,,Diesel,Usados,8064208547,Mercedes-Benz,110 cv,107 000 km,Sedan,Automática,,13-ZI-41,Sim,Classe CLA
42,2019,,Diesel,Usados,8062022548,MINI,116 cv,18 300 km,Citadino,Manual,Nacional,67-XA-63,Sim,
43,2017,Classe 1,Híbrido (Gasolina),Usados,8075750164,BMW,252 cv,42 000 km,Sedan,Automática,Nacional,,Sim,Série 5
44,2016,,Diesel,Usados,8044099914,VW,110 cv,100 000 km,Carrinha,Manual,Importado,,,
45,2018,,Gasolina,Usados,8063422403,Nissan,90 cv,18 500 km,Citadino,Manual,Nacional,54-VQ-76,Sim,
46,2014,Classe 1,Diesel,Usados,8064766106,Renault,110 cv,131 230 km,Utilitário,Manual,,,,
47,2011,Classe 1,Diesel,Usados,8073141618,Alfa Romeo,95 cv,116 230 km,Utilitário,Manual,,,Sim,
48,2017,Classe 1,Diesel,Usados,8075673375,Peugeot,120 cv,126 800 km,Utilitário,Manual,,,,
49,2019,,Diesel,Usados,8063422497,SEAT,115 cv,14 300 km,Utilitário,Manual,Nacional,89-XD-58,Sim,
50,2016,,Diesel,Usados,8064208547,Mercedes-Benz,110 cv,107 000 km,Sedan,Automática,,13-ZI-41,Sim,Classe CLA
51,2019,,Diesel,Usados,8060778023,MINI,150 cv,12 000 km,Utilitário,Semi-automática,Nacional,24-XI-34,Sim,
52,2014,Classe 1,Diesel,Usados,8075599380,BMW,184 cv,94 000 km,Coupé,Manual,Importado,82/ZR/40,,Série 1
53,2020,Classe 1,Gasolina,Novos,8037505999,Renault,140 cv,10 km,Carrinha,Manual,Nacional,,Sim,
54,2017,,Diesel,Usados,8060777868,BMW,313 cv,19 443 km,Cabrio,Semi-automática,Nacional,89-TF-18,Sim,Série 6
55,2019,,Diesel,Usados,8059060474,BMW,116 cv,28 200 km,Monovolume,Manual,Nacional,65-XA-34,Sim,Série 2
56,2017,,Diesel,Usados,8063422355,Hyundai,200 cv,66 000 km,SUV / TT,Automática,Nacional,95-SX-41,Sim,
57,2017,,Gasolina,Usados,8075673751,VW,75 cv,37 102 km,Citadino,Manual,Nacional,49-TS-05,Sim,
58,2010,Classe 1,Diesel,Usados,8041351767,Opel,130 cv,202 000 km,Sedan,Semi-automática,Nacional,,,
59,2017,Classe 1,Híbrido (Gasolina),Usados,8075750164,BMW,252 cv,42 000 km,Sedan,Automática,Nacional,,Sim,Série 5
60,2018,,Diesel,Usados,8056541119,SEAT,95 cv,30 484 km,Utilitário,Manual,Nacional,20-VB-59,Sim,
61,2018,,Diesel,Usados,8059060519,BMW,116 cv,16 100 km,Utilitário,Manual,Nacional,83-UU-85,Sim,Série 1
62,2018,Classe 1,Gasolina,Usados,8065809703,VW,60 cv,36 075 km,Pequeno citadino,Manual,Nacional,,Sim,
63,2018,,Diesel,Usados,8062022513,BMW,190 cv,14 000 km,Carrinha,Semi-automática,Nacional,51-VV-96,Sim,Série 3
64,2008,Classe 1,Gasolina,Usados,8043059950,Fiat,69 cv,166 000 km,Pequeno citadino,Manual,Importado,,,
65,2019,,Eléctrico,Usados,8062022481,Renault,108 cv,3 451 km,Pequeno citadino,Automática,Nacional,51-XA-47,Sim,
66,2020,Classe 1,Gasolina,Usados,8070998156,Honda,102 cv,5 km,Utilitário,Manual,Nacional,,,
67,2019,,Diesel,Usados,8063422773,Mercedes-Benz,160 cv,5 000 km,Sedan,Semi-automática,Nacional,03-ZD-09,Sim,Classe C
68,2019,,Diesel,Usados,8062023209,Peugeot,177 cv,20 000 km,Sedan,Semi-automática,Nacional,29-XS-99,Sim,
69,2010,Classe 1,Diesel,Usados,8037926670,Mercedes-Benz,231 cv,146 557 km,Cabrio,Semi-automática,Nacional,71-JV-41,,Classe E
70,2004,Classe 1,Diesel,Usados,8037508632,Audi,140 cv,248 000 km,Utilitário,Manual,Nacional,,Sim,
71,1997,,Gasolina,Usados,8075665842,Opel,90 cv,145 000 km,Utilitário,Manual,,,,
72,2019,,Diesel,Usados,8056541080,MINI,170 cv,9 900 km,Citadino,Semi-automática,Nacional,90-XM-23,Sim,
73,2018,Classe 1,Diesel,Usados,8065810221,VW,115 cv,34 598 km,Monovolume,Manual,,,,
74,2018,Classe 1,Diesel,Usados,8071553361,Peugeot,120 cv,9 200 km,SUV / TT,Manual,,,,
75,2016,Classe 1,Diesel,Usados,8064746786,Alfa Romeo,180 cv,104 000 km,Sedan,Manual,Importado,,,
76,2014,Classe 1,Diesel,Usados,8075599380,BMW,184 cv,94 000 km,Coupé,Manual,Importado,82/ZR/40,,Série 1
77,2016,,Diesel,Usados,8044099914,VW,110 cv,100 000 km,Carrinha,Manual,Importado,,,
78,2018,,Diesel,Usados,8062023259,Hyundai,115 cv,17 000 km,SUV / TT,Manual,Nacional,93-VM-74,Sim,
79,2009,,Gasolina,Usados,8075673748,VW,70 cv,35 012 km,Citadino,Manual,Nacional,24-IP-15,,
80,2011,Classe 1,Diesel,Usados,8075683301,BMW,313 cv,159 791 km,Sedan,Automática,Nacional,,,Série 5
81,2019,,Eléctrico,Usados,8064886125,Nissan,150 cv,7 500 km,Utilitário,Automática,Nacional,73-ZA-12,Sim,
82,2007,Classe 1,Diesel,Usados,8001151682,VW,140 cv,162 545 km,Utilitário,Manual,Nacional,,,
83,2016,,Diesel,Usados,8038043740,VW,90 cv,96 744 km,Utilitário,Manual,Nacional,41-RT-37,,
84,2018,,Gasolina,Usados,8067954175,MINI,102 cv,20 685 km,Citadino,Manual,Nacional,17-UN-28,Sim,
85,2018,Classe 1,Gasolina,Usados,8062786456,Renault,90 cv,13 500 km,Carrinha,Manual,Nacional,,Sim,
86,2018,,Gasolina,Usados,8067954286,VW,75 cv,28 185 km,Citadino,Manual,Nacional,90-UV-42,Sim,
87,2014,,Diesel,Usados,8033778717,SEAT,75 cv,156 010 km,Utilitário,Manual,Nacional,99-OI-50,,
88,2011,Classe 1,Diesel,Usados,8075683301,BMW,313 cv,159 791 km,Sedan,Automática,Nacional,,,Série 5
89,2014,,Diesel,Usados,8053496207,Audi,245 cv,74 198 km,Sedan,Automática,Nacional,46-OP-22,Sim,
90,2017,,Diesel,Usados,8064886147,Nissan,130 cv,29 000 km,SUV / TT,Manual,Nacional,44-TG-86,Sim,
91,2018,,Diesel,Usados,8065653461,Nissan,115 cv,17 500 km,SUV / TT,Manual,Nacional,06-VU-02,,
92,2014,,Diesel,Usados,8054919746,MINI,112 cv,170 000 km,Utilitário,Manual,,77-XS-69,Sim,
93,2018,,Diesel,Usados,8053496295,Audi,190 cv,26 350 km,SUV / TT,Automática,Nacional,79-VF-99,,
94,2018,,Gasolina,Usados,8067954162,MINI,102 cv,20 479 km,Citadino,Manual,Nacional,70-UM-14,Sim,
95,2017,,Diesel,Usados,8064886014,Renault,110 cv,52 808 km,Carrinha,Manual,Nacional,69-SX-14,Sim,
96,2014,,Diesel,Usados,8039146531,Ford,140 cv,136 900 km,SUV / TT,Manual,Nacional,,,
97,2018,,Diesel,Usados,8053771019,Nissan,110 cv,4 521 km,SUV / TT,Manual,Nacional,23-VV-00,Sim,
98,2014,,Diesel,Usados,8073103056,BMW,116 cv,110 000 km,Utilitário,Manual,,,,Série 1
99,2019,,Diesel,Usados,8067954321,BMW,116 cv,10 500 km,Utilitário,Manual,Nacional,43-VC-83,Sim,Série 1
100,2018,,Diesel,Usados,8067953873,BMW,150 cv,13 349 km,Carrinha,Semi-automática,Nacional,23-VB-16,Sim,Série 3
101,2020,Classe 1,Gasolina,Novos,8037506344,Renault,140 cv,10 km,Carrinha,Manual,Nacional,,Sim,
102,2019,,Gasolina,Usados,8067954363,Toyota,72 cv,2 500 km,Citadino,Manual,Nacional,08-ZB-64,Sim,
103,2019,,Diesel,Usados,8067954338,Mercedes-Benz,160 cv,8 000 km,Sedan,Manual,Nacional,06-ZB-71,Sim,Classe C
104,2015,,Diesel,Usados,8041354842,Mercedes-Benz,109 cv,129 987 km,Utilitário,Manual,,,Sim,Classe A
105,2018,,Diesel,Usados,8065653461,Nissan,115 cv,17 500 km,SUV / TT,Manual,Nacional,06-VU-02,,
106,2014,,Diesel,Usados,8067953915,BMW,184 cv,149 304 km,Coupé,Manual,Nacional,05-PA-06,Sim,Série 4
107,2018,,Diesel,Usados,8053832658,Fiat,95 cv,34 763 km,SUV / TT,Manual,Nacional,87-UG-53,Sim,
108,2013,Classe 1,Diesel,Usados,8075308441,BMW,312 cv,213 000 km,Sedan,Automática,Nacional,,,Série 6
109,2019,,Diesel,Usados,8067954056,Mercedes-Benz,160 cv,16 500 km,Sedan,Semi-automática,Nacional,13-XU-37,Sim,Classe C
110,2018,,Diesel,Usados,8046545055,Opel,99 cv,11 072 km,SUV / TT,Manual,Nacional,66-VA-74,,
111,2018,Classe 1,Gasolina,Usados,8062786456,Renault,90 cv,13 500 km,Carrinha,Manual,Nacional,,Sim,
112,2019,,Gasolina,Usados,8064886163,VW,80 cv,5 837 km,Citadino,Manual,Nacional,54-ZD-90,Sim,
113,2014,,Diesel,Usados,8054919746,MINI,112 cv,170 000 km,Utilitário,Manual,,77-XS-69,Sim,
114,2017,,Diesel,Usados,8064886023,Renault,110 cv,53 003 km,Carrinha,Manual,Nacional,70-TB-92,Sim,
115,2018,,Diesel,Usados,8064886037,Renault,110 cv,29 339 km,SUV / TT,Manual,Nacional,20-UR-99,Sim,
116,2018,,Eléctrico,Usados,8053496717,Nissan,150 cv,4 454 km,Utilitário,Automática,Nacional,67-VO-70,Sim,
117,2017,,Diesel,Usados,8064885927,Audi,150 cv,51 470 km,Carrinha,Automática,Nacional,39-TZ-13,Sim,
118,2018,,Gasolina,Usados,8056531351,Abarth,180 cv,4 730 km,Sedan,Manual,Nacional,82-VR-77,Sim,
119,2018,,Gasolina,Usados,8067954328,Smart,90 cv,10 000 km,Cabrio,Manual,Nacional,27-VA-53,Sim,
120,2019,,Diesel,Usados,8073153142,BMW,150 cv,100 km,Carrinha,Semi-automática,Nacional,88-XU-75,Sim,Série 3
121,2009,Classe 1,Gasolina,Usados,8053397314,Nissan,115 cv,117 060 km,SUV / TT,Manual,Nacional,,,
122,2018,,Diesel,Usados,8069677549,BMW,150 cv,37 322 km,Carrinha,Semi-automática,Nacional,19-UN-06,Sim,Série 3
123,2019,,Híbrido (Gasolina),Usados,8073153188,BMW,224 cv,6 201 km,Monovolume,Semi-automática,Nacional,24-ZN-78,Sim,Série 2
124,2019,,Diesel,Usados,8071163662,Mercedes-Benz,109 cv,1 000 km,Sedan,Automática,Nacional,58-ZM-85,Sim,
125,2019,,Gasolina,Usados,8071163643,Skoda,110 cv,100 km,Citadino,Manual,Nacional,68-ZE-77,Sim,
126,2019,,Diesel,Usados,8071163650,Mercedes-Benz,190 cv,2 000 km,Carrinha,Semi-automática,Nacional,96-ZA-79,Sim,Classe V
127,2019,,Diesel,Usados,8073152807,BMW,116 cv,15 500 km,Utilitário,Semi-automática,Nacional,06-XJ-44,Sim,Série 1
128,2014,,Diesel,Usados,8067953915,BMW,184 cv,149 304 km,Coupé,Manual,Nacional,05-PA-06,Sim,Série 4
129,2019,,Diesel,Usados,8073152993,Peugeot,100 cv,19 900 km,Utilitário,Manual,Nacional,01-XG-48,Sim,
130,2019,,Diesel,Usados,8073153101,BMW,190 cv,8 485 km,Sedan,Semi-automática,Nacional,76-ZI-09,Sim,Série 3
131,2019,,Diesel,Usados,8073153314,BMW,150 cv,14 216 km,Sedan,Semi-automática,Nacional,95-XD-44,Sim,Série 3
132,2019,,Diesel,Usados,8073153176,BMW,116 cv,13 000 km,SUV / TT,Manual,Nacional,88-XU-11,Sim,Série X
133,2019,,Diesel,Usados,8067954338,Mercedes-Benz,160 cv,8 000 km,Sedan,Manual,Nacional,06-ZB-71,Sim,Classe C
134,2016,,Diesel,Usados,8073152771,Hyundai,115 cv,27 321 km,SUV / TT,Manual,Nacional,48-SG-86,Sim,
135,2017,Classe 1,Diesel,Usados,8074539386,Fiat,95 cv,42 000 km,Carrinha,Manual,Nacional,,,
136,2019,,Diesel,Usados,8067954056,Mercedes-Benz,160 cv,16 500 km,Sedan,Semi-automática,Nacional,13-XU-37,Sim,Classe C
137,2017,,Eléctrico,Usados,8073152698,BMW,170 cv,30 198 km,Utilitário,Automática,Nacional,44-TT-00,Sim,Série i
138,2015,,Diesel,Usados,8073153215,Skoda,105 cv,102 200 km,Carrinha,Manual,Nacional,36-QF-64,Sim,
139,2011,Classe 1,Gasolina,Usados,8075657622,MINI,184 cv,121 500 km,Citadino,Manual,Importado,,,
140,2019,,Gasolina,Usados,8067954363,Toyota,72 cv,2 500 km,Citadino,Manual,Nacional,08-ZB-64,Sim,
141,2019,,Gasolina,Usados,8073153116,Peugeot,82 cv,14 900 km,SUV / TT,Manual,Nacional,87-XE-48,Sim,
142,2019,,Diesel,Usados,8073152832,BMW,116 cv,21 500 km,Utilitário,Semi-automática,Nacional,24-XI-08,Sim,Série 1
143,2007,Classe 1,Diesel,Usados,8001151682,VW,140 cv,162 545 km,Utilitário,Manual,Nacional,,,
144,2017,Classe 1,Diesel,Usados,8074539386,Fiat,95 cv,42 000 km,Carrinha,Manual,Nacional,,,
145,2018,,Diesel,Usados,8067953873,BMW,150 cv,13 349 km,Carrinha,Semi-automática,Nacional,23-VB-16,Sim,Série 3
146,2019,,Gasolina,Usados,8069677684,BMW,184 cv,4 329 km,Utilitário,Semi-automática,Nacional,90-XU-30,Sim,Série 4
147,2019,,Diesel,Usados,8073152948,BMW,116 cv,11 000 km,Utilitário,Automática,Nacional,91-XD-95,Sim,Série 1
148,2019,,Diesel,Usados,8073152796,BMW,116 cv,8 100 km,Monovolume,Manual,Nacional,33-XE-73,Sim,Série 2
149,2017,Classe 1,Diesel,Usados,8075744531,BMW,194 cv,67 300 km,Carrinha,Automática,Nacional,,,Série 5
150,2019,,Diesel,Usados,8073153153,BMW,150 cv,12 400 km,Sedan,Semi-automática,Nacional,90-XU-11,Sim,Série 4
151,2019,,Diesel,Usados,8073152962,BMW,116 cv,10 000 km,Utilitário,Automática,Nacional,92-XD-82,Sim,Série 1
152,2014,Classe 1,Diesel,Usados,8075586953,Mitsubishi,115 cv,52 000 km,SUV / TT,Manual,Nacional,,Sim,
153,2019,,Diesel,Usados,8073153300,BMW,116 cv,6 500 km,Monovolume,Manual,Nacional,53-XS-25,Sim,Série 2
154,2018,,Diesel,Usados,8073153085,MINI,116 cv,18 000 km,Citadino,Manual,Nacional,94-UV-91,Sim,
155,2015,,Diesel,Usados,8073152725,BMW,116 cv,50 840 km,Utilitário,Manual,Nacional,90-PZ-69,Sim,Série 1
156,2018,,Diesel,Usados,8071163327,BMW,116 cv,39 000 km,Utilitário,Manual,Nacional,75-UQ-52,Sim,Série 1
157,2017,Classe 1,Diesel,Usados,8075744531,BMW,194 cv,67 300 km,Carrinha,Automática,Nacional,,,Série 5
158,2014,Classe 1,Diesel,Usados,8075586953,Mitsubishi,115 cv,52 000 km,SUV / TT,Manual,Nacional,,Sim,
159,2009,Classe 1,Gasolina,Usados,8053397314,Nissan,115 cv,117 060 km,SUV / TT,Manual,Nacional,,,
160,2010,,Diesel,Usados,8075626366,Volvo,110 cv,100 000 km,Carrinha,,,,,
161,2018,,Diesel,Usados,8071163327,BMW,116 cv,39 000 km,Utilitário,Manual,Nacional,75-UQ-52,Sim,Série 1
162,2018,,Diesel,Usados,8069677519,BMW,150 cv,27 939 km,Carrinha,Semi-automática,Nacional,20-UN-66,Sim,Série 3
163,2010,,Diesel,Usados,8075626366,Volvo,110 cv,100 000 km,Carrinha,,,,,
164,2019,,Diesel,Usados,8069677402,BMW,150 cv,9 290 km,Carrinha,Semi-automática,Nacional,24-XI-18,Sim,Série 3
165,2019,,Diesel,Usados,8069677721,BMW,116 cv,12 675 km,Monovolume,Automática,Nacional,65-XA-98,Sim,Série 2
166,2017,,Diesel,Usados,8063396746,Alfa Romeo,180 cv,24 234 km,Sedan,Automática,,47-TP-76,Sim,
167,2018,,Eléctrico,Usados,8069677366,BMW,170 cv,19 433 km,Utilitário,Automática,Nacional,29-UX-51,Sim,Série i
168,2017,Classe 1,Híbrido (Gasolina),Usados,8053686468,BMW,170 cv,20 000 km,Citadino,Automática,,,Sim,Série i
169,2020,Classe 1,Gasolina,Novos,8041343890,Renault,140 cv,10 km,Carrinha,Manual,Nacional,,Sim,
170,2020,Classe 1,Gasolina,Novos,8041343737,Renault,140 cv,10 km,Carrinha,Manual,Nacional,,Sim,
171,2008,Classe 1,Diesel,Usados,8075656235,Opel,90 cv,180 000 km,Citadino,Manual,Nacional,,,
172,2016,Classe 1,Diesel,Usados,8075745332,BMW,218 cv,60 400 km,Carrinha,Automática,Nacional,,Sim,Série 5
173,2012,,Diesel,Usados,8062009911,Dacia,107 cv,145 540 km,SUV / TT,Manual,Nacional,95-NF-23,Sim,
174,2018,,Diesel,Usados,8069677572,SEAT,95 cv,14 554 km,Utilitário,Manual,Nacional,44-VB-76,Sim,
175,2012,Classe 1,Diesel,Usados,8075655574,SEAT,90 cv,100 000 km,Carrinha,Manual,,,,
176,2018,,Gasolina,Usados,8062010026,Fiat,69 cv,39 025 km,Pequeno citadino,Manual,Nacional,03-UI-95,Sim,
177,2018,,Diesel,Usados,8069677535,BMW,150 cv,25 639 km,Carrinha,Semi-automática,Nacional,18-UN-30,Sim,Série 3
178,2008,Classe 1,Diesel,Usados,8052739170,Mercedes-Benz,170 cv,150 000 km,Sedan,Manual,,83-LB-57,Sim,Classe C
179,2019,,Diesel,Usados,8069677702,BMW,116 cv,14 547 km,Monovolume,Automática,Nacional,65-XA-39,Sim,Série 2
180,2015,Classe 1,Gasolina,Usados,8059261979,BMW,600 cv,42 000 km,Sedan,Automática,Nacional,,Sim,Série 6
181,2019,,Diesel,Usados,8072400577,BMW,116 cv,12 000 km,SUV / TT,Manual,Nacional,88-XU-01,Sim,Série X
182,2018,,Diesel,Usados,8069677527,BMW,150 cv,29 849 km,Carrinha,Semi-automática,Nacional,16-UN-45,Sim,Série 3
183,2017,,Diesel,Usados,8057903889,SEAT,90 cv,58 000 km,Sedan,Manual,Nacional,96-SX-45,Sim,
184,2018,,Diesel,Usados,8065653461,Nissan,115 cv,17 500 km,SUV / TT,Manual,Nacional,06-VU-02,,
185,2018,,Gasolina,Usados,8072400559,VW,75 cv,29 374 km,Citadino,Manual,Nacional,80-UH-36,Sim,
186,2018,,Diesel,Usados,8069677478,BMW,150 cv,21 854 km,Utilitário,Semi-automática,Nacional,93-UH-67,Sim,Série 4
187,2010,Classe 1,Gasolina,Usados,8075655276,SEAT,62 cv,141 000 km,Pequeno citadino,Manual,Nacional,,,
188,2016,Classe 1,Diesel,Usados,8075745332,BMW,218 cv,60 400 km,Carrinha,Automática,Nacional,,Sim,Série 5
189,2019,,Gasolina,Usados,8069677436,Audi,150 cv,10 710 km,SUV / TT,Automática,Nacional,17-XF-23,Sim,
190,2019,,Diesel,Usados,8071163650,Mercedes-Benz,190 cv,2 000 km,Carrinha,Semi-automática,Nacional,96-ZA-79,Sim,Classe V
191,2019,,Gasolina,Usados,8069677684,BMW,184 cv,4 329 km,Utilitário,Semi-automática,Nacional,90-XU-30,Sim,Série 4
192,2015,Classe 1,Gasolina,Usados,8059261979,BMW,600 cv,42 000 km,Sedan,Automática,Nacional,,Sim,Série 6
193,2018,,Gasolina,Usados,8069677602,MINI,136 cv,28 095 km,Cabrio,Manual,Nacional,94-UV-84,Sim,
194,2018,,Gasolina,Usados,8062010005,SEAT,115 cv,28 367 km,Carrinha,Manual,Nacional,66-VE-25,Sim,
195,2018,,Diesel,Usados,8065653461,Nissan,115 cv,17 500 km,SUV / TT,Manual,Nacional,06-VU-02,,
196,2018,,Diesel,Usados,8071163628,Audi,116 cv,44 000 km,Utilitário,Manual,Nacional,73-UT-14,Sim,
197,2018,,Diesel,Usados,8069677584,SEAT,95 cv,16 995 km,Utilitário,Manual,Nacional,43-VB-99,Sim,
198,2018,,Diesel,Usados,8069677549,BMW,150 cv,37 322 km,Carrinha,Semi-automática,Nacional,19-UN-06,Sim,Série 3
199,2018,,Gasolina,Usados,8062010059,Fiat,69 cv,25 118 km,Pequeno citadino,Manual,Nacional,03-UI-83,Sim,
200,2019,,Diesel,Usados,8074342451,Mercedes-Benz,194 cv,12 000 km,Sedan,Semi-automática,Nacional,57-ZC-51,Sim,Classe C
201,2018,,Gasolina,Usados,8067938001,Kia,84 cv,29 000 km,Citadino,Manual,Nacional,91-UE-93,Sim,
202,2010,,Gasolina,Usados,8075625617,Ford,330 cv,27 682 km,Coupé,Manual,,,,
203,2017,,Gasolina,Usados,8067938057,Audi,95 cv,33 374 km,Citadino,Manual,Importado,15-ZC-23,Sim,
204,2020,Classe 1,Gasolina,Novos,8041343737,Renault,140 cv,10 km,Carrinha,Manual,Nacional,,Sim,
205,2019,,Gasolina,Usados,8074342331,VW,60 cv,5 772 km,Pequeno citadino,Manual,Nacional,46-XH-17,Sim,
206,2019,,Gasolina,Usados,8067938112,Abarth,145 cv,15 km,Citadino,Manual,Importado,10-ZF-80,Sim,
207,2017,Classe 1,Híbrido (Gasolina),Usados,8053686468,BMW,170 cv,20 000 km,Citadino,Automática,,,Sim,Série i
208,2019,,Diesel,Usados,8074342443,BMW,116 cv,12 000 km,SUV / TT,Automática,Nacional,38-ZD-39,Sim,Série X
209,2020,,Diesel,Usados,8074342422,Mercedes-Benz,116 cv,7 500 km,Coupé,Manual,Nacional,60-ZR-60,Sim,Classe CLA
210,2012,,Diesel,Usados,8062009911,Dacia,107 cv,145 540 km,SUV / TT,Manual,Nacional,95-NF-23,Sim,
211,2018,,Gasolina,Usados,8062010059,Fiat,69 cv,25 118 km,Pequeno citadino,Manual,Nacional,03-UI-83,Sim,
212,2018,,Gasolina,Usados,8072400436,VW,75 cv,24 518 km,Citadino,Manual,Nacional,14-UI-41,Sim,
213,2017,Classe 1,Diesel,Usados,8074305806,Renault,110 cv,49 000 km,Carrinha,Automática,Nacional,,,
214,2017,Classe 1,Diesel,Usados,8074305806,Renault,110 cv,49 000 km,Carrinha,Automática,Nacional,,,
215,2020,Classe 1,Gasolina,Novos,8041343890,Renault,140 cv,10 km,Carrinha,Manual,Nacional,,Sim,
216,2018,,Diesel,Usados,8067938244,SEAT,95 cv,22 648 km,SUV / TT,Manual,Nacional,53-UZ-04,Sim,
217,2015,,Diesel,Usados,8075650701,Mercedes-Benz,90 cv,141 000 km,Utilitário,Manual,,,,Classe A
218,2012,Classe 1,Diesel,Usados,8075655574,SEAT,90 cv,100 000 km,Carrinha,Manual,,,,
219,2017,,Gasolina,Usados,8067938017,Toyota,72 cv,68 954 km,Pequeno citadino,Manual,Importado,81-XZ-34,Sim,
