,price,ID,vehicle_type,year,transmission,horsepower,km,fuel_type,brand
64,11200,8026572390,suv,2017,manual,95,30000,diesel,Fiat
65,12500,8074607512,coupé,2004,automatic,170,300000,diesel,Mercedes-Benz
66,31749,8070343859,small_car,2015,manual,120,139643,diesel,Ford
67,25999,8073975023,suv,2017,manual,105,40125,diesel,Mazda
68,10500,8073430944,suv,2018,manual,95,40000,diesel,Fiat
69,12990,8073878400,suv,2018,automatic,130,31745,gas,Peugeot
70,26749,8074497331,small_car,2018,manual,102,22786,diesel,Citroën
71,8500,8073536066,small_car,2011,manual,95,87921,diesel,Fiat
72,9500,8064522191,sports_tourism_van,2006,manual,109,198789,diesel,Peugeot
73,31000,8075683301,large_family_car,2011,automatic,313,159791,diesel,BMW
74,9875,8075745332,sports_tourism_van,2016,automatic,218,60400,diesel,BMW
75,28999,8004169450,small_car,2018,manual,69,34000,gas,Fiat
76,14800,8040391309,suv,2018,manual,95,49000,diesel,Fiat
77,15500,8074190752,coupé,2018,automatic,190,44555,diesel,Audi
78,18000,8072060883,small_car,2016,manual,116,78132,diesel,BMW
79,9875,8069399606,small_car,2015,manual,110,69566,diesel,Audi
80,19900,8073801133,large_family_car,2015,automatic,190,91202,diesel,Audi
81,9150,8072643777,cabrio,2019,automatic,69,22303,gas,Fiat
82,19900,8043562444,small_car,2007,manual,130,80000,gas,MINI
83,9150,8075630365,suv,2017,automatic,110,83250,diesel,Renault
84,6950,8062780500,suv,2019,manual,115,17475,diesel,Renault
85,15500,8074489304,sports_tourism_van,2017,manual,110,106546,diesel,VW
86,7000,8074862114,small_car,2014,manual,128,116000,diesel,Kia
87,13500,8070562027,sports_tourism_van,2015,manual,110,145522,diesel,VW
88,5900,8070316563,small_car,2015,manual,75,57019,diesel,Peugeot
89,31749,8069227950,small_car,2015,manual,75,52635,diesel,VW
90,18000,8070215450,sports_tourism_van,2016,manual,120,58878,diesel,VW
91,24990,8011106265,suv,2017,manual,95,59000,diesel,Fiat
92,34900,8069407450,small_car,2015,manual,150,132152,diesel,VW
93,9500,8072158714,small_car,2014,manual,75,89992,diesel,VW
94,15500,8075606250,small_car,2007,manual,125,190000,diesel,Opel
95,9875,8072325960,suv,2019,automatic,392,4644,hybrid,Volvo
96,28999,8074283919,sports_tourism_van,2015,automatic,190,106197,diesel,VW
97,18000,8073274518,sports_tourism_van,2015,automatic,120,65245,diesel,VW
98,19900,8074283219,sports_tourism_van,2015,manual,150,111630,diesel,VW
99,9500,8074954471,small_car,2010,manual,51,38037,gas,Toyota
100,25999,8073765034,sports_tourism_van,2015,manual,150,87943,diesel,VW
101,2800,8069215198,small_car,2016,manual,90,87186,diesel,SEAT
102,22990,8070445008,suv,2017,automatic,235,42432,diesel,Volvo
103,24350,8074057885,large_family_car,2009,manual,177,112000,diesel,BMW
104,12990,8071297979,small_car,2014,manual,90,83473,diesel,VW
105,14800,8070976514,large_family_car,2018,automatic,190,109319,diesel,Volvo
106,10500,8070561937,sports_tourism_van,2015,manual,110,147387,diesel,VW
107,11200,8063250162,small_car,2016,manual,95,52568,diesel,MINI
108,35999,8068142637,small_car,2015,manual,75,109436,gas,VW
109,25900,8073863482,sports_tourism_van,2016,manual,110,57583,diesel,VW
110,12500,8069221812,small_car,2015,manual,90,107997,diesel,VW
111,9150,8073763792,sports_tourism_van,2015,manual,120,89542,diesel,VW
112,8500,8070642336,sports_tourism_van,2018,automatic,190,37803,diesel,Volvo
113,16499,8072162577,small_car,2016,manual,120,43097,diesel,Volvo
114,27490,8070635135,suv,2014,manual,130,128618,diesel,Nissan
115,26749,8074507473,sports_tourism_van,2015,automatic,150,144813,diesel,VW
116,5500,8067782588,suv,2019,manual,90,10692,gas,Renault
117,24350,8060301923,suv,2015,manual,110,161000,diesel,Nissan
118,12990,8071982034,small_car,2015,manual,90,96842,diesel,Renault
119,9150,8073763563,sports_tourism_van,2017,manual,110,39359,diesel,Renault
120,9875,8072066495,small_car,2017,manual,90,47969,diesel,Renault
121,24350,8074402708,small_car,2016,manual,75,32512,gas,SEAT
122,18000,8075585452,small_car,2019,manual,85,9000,diesel,Renault
123,18000,8071209531,sports_tourism_van,2017,manual,110,66462,diesel,Renault
124,27490,8073763725,small_car,2016,manual,75,29770,gas,SEAT
125,19900,8072162414,sports_tourism_van,2017,manual,110,48036,diesel,Renault
126,9500,8072456123,small_car,2016,manual,75,42325,gas,SEAT
127,11200,8073787770,coupé,2018,manual,90,19772,gas,Smart
128,26749,8072324823,small_car,2016,manual,75,44830,gas,SEAT
129,12500,8070643093,small_car,2015,manual,90,86091,diesel,Renault
130,13500,8001752050,sports_tourism_van,2018,manual,95,35000,diesel,Fiat
131,34900,8071197856,small_car,2015,manual,90,97319,diesel,Renault
132,31749,8072521294,small_car,2016,manual,75,73176,gas,SEAT
133,18000,8068142395,large_family_car,2018,manual,110,71328,diesel,Renault
134,2800,8071890862,small_car,2015,manual,110,139392,diesel,SEAT
135,28999,8072374623,small_car,2016,manual,75,33707,gas,SEAT
136,22990,8073763739,small_car,2016,manual,75,52393,diesel,Renault
137,11200,8068142220,large_family_car,2015,automatic,150,106634,diesel,VW
138,5900,8074272645,small_car,2016,manual,75,7497,gas,SEAT
139,10500,8070338363,small_car,2016,manual,90,122334,diesel,Renault
140,35999,8073581008,small_car,2016,manual,75,21982,gas,SEAT
141,24990,8074401028,small_car,2016,manual,75,51745,gas,SEAT
142,31749,8072374546,small_car,2016,manual,75,54658,gas,SEAT
143,15500,8072326175,sports_tourism_van,2016,manual,110,90806,diesel,Renault
144,25999,8072066254,small_car,2016,manual,75,29990,gas,SEAT
145,25900,8072325119,sports_tourism_van,2015,manual,110,81525,diesel,Renault
146,11200,8072521198,small_car,2016,manual,75,17404,gas,SEAT
147,6950,8074491553,small_car,2016,manual,75,30442,gas,SEAT
148,31000,8074189655,small_car,2017,manual,75,11647,gas,SEAT
149,5500,8074402312,small_car,2016,manual,75,21742,gas,SEAT
150,7000,8074400119,small_car,2016,manual,75,20527,gas,SEAT
151,24350,8072521176,small_car,2015,manual,90,147732,diesel,Renault
152,2800,8071891671,sports_tourism_van,2015,manual,150,146592,diesel,Peugeot
153,31749,8070315567,sports_tourism_van,2017,manual,100,58336,diesel,Peugeot
154,14800,8053469956,sports_tourism_van,2018,manual,95,39000,diesel,Fiat
155,31000,8070645030,sports_tourism_van,2018,manual,100,116283,diesel,Peugeot
156,24350,8071823058,sports_tourism_van,2018,manual,100,111406,diesel,Peugeot
157,7000,8070647770,sports_tourism_van,2017,manual,100,46786,diesel,Peugeot
158,28999,8070647084,small_car,2015,manual,68,43828,diesel,Peugeot
159,9150,8073780039,suv,2015,manual,136,131853,diesel,Opel
160,19900,8072064127,small_car,2017,manual,95,99370,diesel,Opel
161,5900,8066063279,small_car,2016,manual,109,100000,gas,BMW
162,8500,8071209596,small_car,2016,manual,75,70917,diesel,Renault
163,18000,8028905916,small_car,2018,manual,95,30000,diesel,Fiat
164,5500,8072325210,sports_tourism_van,2017,manual,100,53789,diesel,Peugeot
165,35999,8070341656,sports_tourism_van,2017,manual,100,48577,diesel,Peugeot
166,15500,8072066357,small_car,2017,manual,95,95460,diesel,Opel
167,5900,8070644840,sports_tourism_van,2018,manual,100,119614,diesel,Peugeot
168,9500,8070340150,sports_tourism_van,2018,manual,100,133255,diesel,Peugeot
169,24990,8071209314,sports_tourism_van,2018,manual,100,106877,diesel,Peugeot
170,16499,8074283131,cabrio,2016,automatic,265,69628,gas,Porsche
171,26749,8072325244,small_car,2015,manual,68,84926,diesel,Peugeot
172,25999,8067400637,small_car,2015,manual,68,87129,diesel,Peugeot
173,27490,8053996729,suv,2017,manual,120,60000,diesel,Jeep
174,27490,8070579792,sports_tourism_van,2018,manual,100,85104,diesel,Peugeot
175,34900,8067954328,cabrio,2018,manual,90,10000,gas,Smart
176,6950,8072453658,sports_tourism_van,2017,manual,100,67252,diesel,Peugeot
177,18000,8067058550,small_car,2015,manual,95,121628,diesel,Opel
178,11200,8073687628,suv,2016,manual,100,85546,diesel,Peugeot
179,10500,8074605322,sports_tourism_van,2018,manual,120,54844,diesel,Fiat
180,22990,8074492247,small_car,2017,manual,110,77561,diesel,Opel
181,12500,8071775549,small_car,2016,manual,110,70050,diesel,Opel
182,11200,8071206421,sports_tourism_van,2015,manual,136,95561,diesel,Mercedes-Benz
183,12990,8075606899,suv,2015,manual,163,101000,diesel,BMW
184,27490,8072325540,suv,2015,manual,180,105481,diesel,Ford
185,13500,8070645345,small_car,2018,manual,95,51356,diesel,Opel
186,31749,8069478541,small_car,2017,manual,120,24097,diesel,Ford
187,28999,8070635894,sports_tourism_van,2018,manual,120,96981,diesel,Fiat
188,19900,8072802841,suv,2018,automatic,204,26000,diesel,Mercedes-Benz
189,5500,8075708522,small_car,2017,manual,125,35000,gas,Ford
190,5900,8069466447,small_car,2015,manual,109,90471,diesel,Mercedes-Benz
191,9875,8071777888,small_car,2017,manual,110,31763,diesel,Opel
192,34900,8074412178,small_car,2016,manual,110,50783,diesel,Opel
193,12990,8069465844,small_car,2016,manual,110,59854,diesel,Opel
194,24350,8073763648,sports_tourism_van,2016,manual,116,64253,diesel,Mercedes-Benz
195,9150,8073801244,sports_tourism_van,2015,automatic,190,60259,diesel,BMW
196,31000,8064928480,suv,2015,automatic,150,76579,diesel,Land Rover
197,18000,8071208441,suv,2015,manual,116,145139,diesel,BMW
198,10500,8071920084,small_car,2017,manual,95,122534,diesel,Opel
199,13500,8066567011,sports_tourism_van,2018,automatic,150,23643,diesel,VW
200,8500,8069841111,suv,2015,automatic,204,52111,diesel,Mercedes-Benz
201,14800,8071917652,large_family_car,2016,automatic,150,110791,diesel,Mercedes-Benz
202,9500,8037029399,small_car,2018,manual,69,55000,diesel,Fiat
203,35999,8069840852,small_car,2017,manual,120,84501,diesel,Ford
204,26749,8073765100,suv,2015,manual,95,93915,diesel,Fiat
205,25999,8073763588,large_family_car,2015,manual,150,132585,diesel,BMW
206,6950,8073763986,sports_tourism_van,2018,manual,109,44866,diesel,Mercedes-Benz
207,25900,8072065578,small_car,2017,manual,95,91972,diesel,Opel
208,7000,8072375252,small_car,2015,manual,109,62670,diesel,Mercedes-Benz
209,18000,8071893931,sports_tourism_van,2015,automatic,190,98274,diesel,BMW
210,16499,8070341193,sports_tourism_van,2015,automatic,231,82283,hybrid,Mercedes-Benz
211,2800,8073767919,sports_tourism_van,2018,manual,109,41490,diesel,Mercedes-Benz
212,24990,8073273896,sports_tourism_van,2015,manual,116,107654,diesel,Mercedes-Benz
213,5500,8073780308,sports_tourism_van,2015,manual,170,66732,diesel,Mercedes-Benz
214,12990,8072065368,small_car,2017,manual,116,61478,diesel,BMW
215,6950,8070339919,small_car,2015,manual,110,96786,diesel,SEAT
216,34900,8072158819,small_car,2016,manual,95,96948,diesel,BMW
217,24990,8070313291,suv,2015,manual,110,140585,diesel,Renault
218,9500,8075581441,small_car,2018,manual,109,38604,diesel,Mercedes-Benz
219,22990,8073800257,coupé,2015,manual,150,52688,diesel,Audi
220,31000,8070422546,small_car,2015,manual,95,168000,diesel,MINI
221,14800,8071205220,small_car,2015,manual,75,71754,diesel,VW
222,19900,8071976139,sports_tourism_van,2015,automatic,190,112417,diesel,BMW
223,10500,8070351173,large_family_car,2015,automatic,143,100544,diesel,BMW
224,5500,8071908669,small_car,2016,manual,75,22267,gas,SEAT
225,16499,8070968667,small_car,2015,manual,110,10299,diesel,Audi
226,11200,8068296688,small_car,2011,automatic,88,104980,hybrid,Honda
227,2800,8069217007,small_car,2015,manual,110,113181,diesel,VW
228,10500,8070893153,sports_tourism_van,2015,manual,75,68300,diesel,Peugeot
229,8500,8069718762,coupé,2015,manual,150,84120,diesel,Audi
230,9875,8015321802,small_car,2018,manual,69,37000,gas,Fiat
231,15500,8072809859,sports_tourism_van,2015,automatic,190,104649,diesel,BMW
232,24350,8069464770,small_car,2015,manual,75,48013,diesel,SEAT
233,27490,8074604843,sports_tourism_van,2015,automatic,190,118307,diesel,BMW
234,13500,8074372860,sports_tourism_van,2015,manual,150,97061,diesel,BMW
235,25900,8071208519,sports_tourism_van,2015,automatic,150,87880,diesel,BMW
236,12500,8070489236,large_family_car,2016,automatic,190,92117,diesel,Audi
237,5500,8071460593,sports_tourism_van,2015,automatic,190,64891,diesel,BMW
238,27490,8054334532,small_car,2018,manual,69,49000,gas,Fiat
239,13500,8071822639,small_car,2015,manual,120,102700,diesel,Ford
240,22990,8073687480,small_car,2018,manual,102,37050,diesel,Citroën
241,26749,8067400683,small_car,2015,manual,68,114473,diesel,Peugeot
242,2800,8002265595,small_car,2018,manual,120,30000,diesel,Alfa Romeo
243,18000,8070754492,small_car,2016,manual,90,70362,diesel,Skoda
244,28999,8072184138,small_car,2015,manual,82,49285,gas,Peugeot
245,9150,8075430565,sports_tourism_van,2015,manual,110,155000,diesel,VW
246,25999,8069601267,suv,2018,manual,110,27162,gas,Opel
247,31000,8070487670,sports_tourism_van,2016,manual,110,100084,diesel,Renault
248,31749,8070345347,small_car,2017,manual,90,40432,diesel,Renault
249,15500,8073687595,suv,2015,manual,110,89530,diesel,Nissan
250,31000,8072521148,suv,2015,manual,110,110595,diesel,Renault
251,9500,8070345643,small_car,2017,manual,90,58916,diesel,Renault
252,25900,8071918880,small_car,2017,manual,90,29791,diesel,Nissan
253,18000,8070645506,small_car,2014,manual,110,85153,diesel,Opel
254,14800,8073273792,large_family_car,2018,manual,150,34494,diesel,Audi
255,7000,8071209668,sports_tourism_van,2015,manual,110,98866,diesel,Renault
256,19900,8071978244,small_car,2017,manual,110,136072,diesel,Opel
257,9150,8071467818,small_car,2017,manual,120,38075,diesel,Ford
258,15500,8069963593,small_car,2017,manual,95,18163,diesel,Opel
259,10500,8072066287,small_car,2017,manual,120,27123,diesel,Ford
260,5900,8071974111,small_car,2015,manual,110,144012,diesel,Renault
261,26749,8075612517,small_car,2014,manual,190,164700,diesel,Volvo
262,11200,8071906859,small_car,2015,manual,110,91815,diesel,Audi
263,12990,8070317839,sports_tourism_van,2018,manual,120,76421,diesel,Fiat
264,9875,8073767329,small_car,2018,manual,102,38561,diesel,Citroën
265,8500,8067408600,large_family_car,2009,automatic,100,71500,hybrid,Toyota
266,35999,8071981764,small_car,2017,manual,90,65404,diesel,Renault
267,18000,8069838960,small_car,2017,manual,95,34180,diesel,Opel
268,16499,8069397064,small_car,2018,manual,116,10351,diesel,BMW
269,15500,8074604159,large_family_car,2016,manual,150,112338,diesel,Audi
270,34900,8070443598,sports_tourism_van,2017,manual,95,61753,diesel,Fiat
271,12500,8072854694,small_car,2018,automatic,69,15223,gas,Fiat
272,25900,8074056995,small_car,2015,manual,120,90052,diesel,Alfa Romeo
273,35999,8074858460,small_car,2004,manual,140,495000,diesel,Audi
274,7000,8072926213,small_car,2013,manual,95,203000,diesel,Opel
275,18000,8074828216,large_family_car,1989,manual,55,381682,diesel,Mercedes-Benz
276,15500,8075540577,sports_tourism_van,2011,manual,143,82080,diesel,Audi
277,28999,8070777927,small_car,2015,manual,116,93100,diesel,BMW
278,12990,8065862500,cabrio,2018,automatic,420,7000,gas,Porsche
279,9150,8074832265,suv,2010,manual,117,160000,diesel,Toyota
280,5500,8070355597,small_car,2018,automatic,120,40000,diesel,Alfa Romeo
281,26749,8075362444,sports_tourism_van,2017,automatic,194,96800,diesel,Mercedes-Benz
282,34900,8053397314,suv,2009,manual,115,117060,gas,Nissan
283,24990,8073885799,small_car,2015,manual,114,72900,diesel,Volvo
284,5900,8069282734,sports_tourism_van,2019,manual,150,12076,diesel,Volvo
285,27490,8064374140,large_family_car,2016,automatic,180,41300,diesel,Jaguar
286,10500,8066209746,small_car,2017,automatic,120,22650,diesel,Citroën
287,7000,8061089961,suv,2002,manual,112,240000,diesel,Hyundai
288,18000,8073887353,sports_tourism_van,2009,manual,140,228511,diesel,Ford
289,24350,8069238351,suv,2019,manual,95,12000,diesel,Fiat
290,19900,8074057195,coupé,2014,automatic,200,103000,diesel,BMW
291,15500,8074216755,sports_tourism_van,2015,automatic,190,88790,diesel,BMW
292,31749,8074217647,small_car,2006,automatic,61,99000,gas,Smart
293,9500,8067893570,suv,2017,manual,120,110000,diesel,Peugeot
294,7000,8059473697,small_car,2015,automatic,80,110000,diesel,Mercedes-Benz
295,25999,8075174087,large_family_car,2014,automatic,367,115000,electric,Tesla
296,25900,8075422269,small_car,2016,manual,90,120000,diesel,Renault
297,9875,8068693274,small_car,2016,manual,69,52000,gas,Ford
298,12500,8074859390,suv,2019,manual,115,2057,diesel,Nissan
299,9500,8075586393,sports_tourism_van,2019,manual,90,17000,diesel,Renault
300,5900,8072917340,sports_tourism_van,2012,manual,190,107000,diesel,BMW
301,28999,8049559622,suv,2016,manual,150,95000,diesel,Audi
302,11200,8072291594,large_family_car,2017,automatic,190,25838,diesel,BMW
303,13500,8074856249,small_car,2011,manual,170,127000,diesel,Opel
304,2800,8073896056,sports_tourism_van,2015,manual,116,118000,diesel,Mercedes-Benz
305,26749,8074853654,small_car,2013,automatic,460,77500,gas,VW
306,8500,8061085044,suv,1993,manual,78,344000,diesel,Nissan
307,25900,8051715052,sports_tourism_van,2013,manual,140,155000,diesel,VW
308,9500,8075610412,cabrio,2009,automatic,211,34836,gas,Audi
309,16499,8070359567,suv,2010,automatic,170,164000,diesel,Audi
310,24350,8072563932,large_family_car,2015,manual,110,123000,diesel,Audi
311,9150,8033851850,sports_tourism_van,2011,automatic,115,181000,diesel,Peugeot
312,12990,8072039455,sports_tourism_van,2014,automatic,285,238102,hybrid,Volvo
313,19900,8075683386,suv,2007,manual,115,200000,diesel,Ford
314,15500,8075682905,suv,2015,manual,120,100000,diesel,Fiat
315,18000,8074228513,small_car,2018,manual,116,42642,diesel,Audi
316,34900,8073980229,sports_tourism_van,2017,manual,120,78000,diesel,Peugeot
317,6950,8071995332,sports_tourism_van,2019,manual,102,24000,diesel,Peugeot
318,31749,8069183844,small_car,2015,manual,90,115000,diesel,Renault
319,14800,8070334783,sports_tourism_van,2018,manual,130,43000,diesel,Peugeot
320,22990,8073637527,sports_tourism_van,2014,automatic,181,180000,diesel,Volvo
321,24990,8073896103,sports_tourism_van,2017,automatic,194,82000,diesel,Mercedes-Benz
322,31000,8073958534,sports_tourism_van,2019,manual,130,25000,diesel,Peugeot
323,5500,8067751256,small_car,2019,manual,68,17000,gas,Peugeot
324,35999,8069337397,small_car,2015,manual,90,120000,diesel,Renault
325,10500,8061717232,suv,2017,automatic,110,150000,diesel,Renault
326,14800,8074054893,small_car,2010,manual,110,97000,diesel,MINI
327,16499,8067926696,small_car,2014,manual,184,110000,diesel,BMW
328,11200,8074159275,suv,2016,automatic,120,133000,diesel,Citroën
329,8500,8067928115,small_car,2018,manual,116,30000,diesel,Audi
330,9500,8071979164,small_car,2018,automatic,110,128000,diesel,Mercedes-Benz
331,5900,8074854862,suv,2018,automatic,224,15000,hybrid,BMW
332,5500,8053280259,small_car,2015,automatic,204,160000,hybrid,VW
333,22990,8072571086,suv,2014,manual,90,120000,diesel,Nissan
334,24350,8053278781,suv,2015,manual,110,90000,diesel,Nissan
335,24990,8074054954,large_family_car,1991,manual,72,291000,diesel,Mercedes-Benz
336,31749,8071916109,small_car,2016,manual,90,144000,diesel,SEAT
337,34900,8066200952,small_car,2015,manual,116,74000,diesel,BMW
338,25900,8075627651,small_car,2018,automatic,150,22500,electric,Nissan
339,9875,8067927131,sports_tourism_van,2013,manual,105,188000,diesel,Hyundai
340,12500,8036793232,large_family_car,2018,automatic,190,50000,diesel,BMW
341,6950,8062620465,small_car,2012,manual,90,120000,diesel,Peugeot
342,11200,8066201083,large_family_car,2018,manual,116,50000,diesel,Audi
343,31000,8074855411,coupé,2016,automatic,170,75000,diesel,Mercedes-Benz
344,28999,8071824764,sports_tourism_van,2013,manual,140,160000,diesel,BMW
345,35999,8074855279,sports_tourism_van,2015,manual,110,58000,diesel,Renault
346,27490,8074955222,sports_tourism_van,2010,automatic,170,200000,diesel,Mercedes-Benz
347,18000,8074053266,small_car,2015,manual,150,71602,diesel,Alfa Romeo
348,9500,8072535099,suv,2010,manual,140,140000,diesel,Mitsubishi
349,9150,8074054651,sports_tourism_van,2014,manual,110,134000,diesel,Renault
350,9875,8064785291,cabrio,2010,manual,112,147900,diesel,MINI
351,26749,8075505058,small_car,2019,automatic,75,3528,hybrid,Toyota
352,19900,8044355985,suv,2018,manual,102,34000,diesel,Opel
353,24990,8071812839,small_car,2016,manual,90,40000,gas,Renault
354,35999,8066569132,small_car,2019,manual,80,22000,gas,Mitsubishi
355,31749,8041685870,small_car,2013,manual,90,130000,diesel,VW
356,7000,8074770003,suv,2014,automatic,140,126720,diesel,SEAT
357,16499,8068035433,large_family_car,2017,automatic,258,47000,diesel,BMW
358,12500,8073468776,suv,2017,automatic,190,49734,diesel,Mercedes-Benz
359,10500,8062830105,suv,2015,manual,150,133000,diesel,VW
360,24990,8074849244,small_car,2016,manual,66,34000,gas,Hyundai
361,6950,8072285720,small_car,2009,automatic,61,115573,gas,Smart
362,5900,8068802798,small_car,2017,manual,70,46000,gas,Fiat
363,16499,8072249351,sports_tourism_van,2013,manual,170,180000,diesel,Mercedes-Benz
364,14800,8074219475,sports_tourism_van,2019,automatic,150,6000,diesel,Audi
365,2800,8064341265,small_car,2019,automatic,116,16000,diesel,Mercedes-Benz
366,31000,8074224731,small_car,2013,automatic,98,56560,hybrid,Honda
367,24350,8070599502,large_family_car,2019,automatic,190,7000,diesel,BMW
368,18000,8063640072,suv,2019,manual,130,16617,diesel,Peugeot
369,25900,8056941064,sports_tourism_van,2017,automatic,190,37700,diesel,Mercedes-Benz
370,18000,8074276409,small_car,2013,manual,100,100000,gas,Opel
371,2800,8059265959,large_family_car,2010,automatic,233,118000,diesel,Audi
372,9875,8071328711,coupé,2013,automatic,140,50043,diesel,VW
373,11200,8068648529,sports_tourism_van,2015,manual,170,103347,diesel,Mercedes-Benz
374,28999,8044786556,cabrio,2009,automatic,200,102300,gas,Audi
375,15500,8073225724,sports_tourism_van,2016,manual,120,106489,diesel,Honda
376,8500,8055870490,suv,2017,manual,90,29368,diesel,Renault
377,34900,8074959355,large_family_car,2013,automatic,313,104000,diesel,BMW
378,15500,8075611039,sports_tourism_van,2015,manual,90,68100,diesel,Skoda
379,22990,8043980120,cabrio,2008,automatic,286,179995,diesel,BMW
380,9150,8075354100,sports_tourism_van,2015,automatic,170,120000,diesel,Mercedes-Benz
381,13500,8075619880,small_car,2007,manual,94,99896,gas,Chevrolet
382,16499,8074372359,small_car,2019,automatic,116,20300,diesel,Mercedes-Benz
383,9875,8073095510,small_car,2015,manual,71,33400,gas,Smart
384,26749,8053960735,sports_tourism_van,2013,automatic,136,100000,hybrid,Toyota
385,25999,8073311885,small_car,2017,manual,90,52521,gas,Renault
386,14800,8068648198,sports_tourism_van,2015,manual,170,140907,diesel,Mercedes-Benz
387,13500,8070746527,sports_tourism_van,2017,manual,115,20700,diesel,SEAT
388,10500,8060065329,small_car,2016,manual,69,77835,gas,Fiat
389,19900,8066366130,small_car,2019,manual,100,14771,gas,Nissan
